Conventions,G,BADC-CSV,1
title,G,uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-201908
history,G,Created 2019-08-20
last_revised_date,G,2019-08-20
observation_station,G,bracknell-beaufort-park
historic_county_name,G,berkshire
midas_station_id,G,00838
location,G,51.39,-0.786
height,G,74,m
date_valid,G,1991-01-01 00:00:00,1991-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,mean_wind_dir,Mean wind direciton,deg true
type,mean_wind_dir,int
long_name,mean_wind_speed,Mean wind speed,knots
type,mean_wind_speed,float
long_name,max_gust_dir,Direction of maximum wind gust,deg true
type,max_gust_dir,int
long_name,max_gust_speed,Speed of maximum wind gust,knots
type,max_gust_speed,float
long_name,max_gust_ctime,Clock time of maximum gust HHMM,s
type,max_gust_ctime,char
long_name,mean_wind_dir_q,QC code: Mean wind direction,1
type,mean_wind_dir_q,int
long_name,mean_wind_speed_q,QC code: Mean wind speed,1
type,mean_wind_speed_q,int
long_name,max_gust_dir_q,QC code: Direction of maximum wind gust,1
type,max_gust_dir_q,int
long_name,max_gust_speed_q,QC code: Speed of maximum wind gust,1
type,max_gust_speed_q,int
long_name,max_gust_ctime_q,QC code: Clock time of maximum gust HHMM,1
type,max_gust_ctime_q,int
long_name,mean_wind_dir_j,Descriptor: Mean wind direction,1
type,mean_wind_dir_j,char
long_name,mean_wind_speed_j,Descriptor: Mean wind speed,1
type,mean_wind_speed_j,char
long_name,max_gust_dir_j,Descriptor: Direction of maximum wind gust,1
type,max_gust_dir_j,char
long_name,max_gust_speed_j,Descriptor: Speed of maximum wind gust,1
type,max_gust_speed_j,char
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,met_domain_name,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
1991-12-22 22:00:00,WIND,559101,1,HCM,1,838,1001,240,7,240,17,2136,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-22 23:00:00,WIND,559101,1,HCM,1,838,1001,240,7,210,17,2218,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 00:00:00,WIND,559101,1,HCM,1,838,1001,230,7,250,17,2336,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 01:00:00,WIND,559101,1,HCM,1,838,1001,240,8,260,20,30,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 02:00:00,WIND,559101,1,HCM,1,838,1001,240,9,230,19,130,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 03:00:00,WIND,559101,1,HCM,1,838,1001,230,8,250,19,206,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 04:00:00,WIND,559101,1,HCM,1,838,1001,230,10,220,24,324,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 05:00:00,WIND,559101,1,HCM,1,838,1001,230,10,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-23 06:00:00,WIND,559101,1,HCM,1,838,1001,230,10,200,25,524,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 07:00:00,WIND,559101,1,HCM,1,838,1001,220,10,210,24,624,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 08:00:00,WIND,559101,1,HCM,1,838,1001,230,11,250,25,730,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 09:00:00,WIND,559101,1,HCM,1,838,1001,230,11,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-23 10:00:00,WIND,559101,1,HCM,1,838,1001,230,12,200,28,942,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 11:00:00,WIND,559101,1,HCM,1,838,1001,220,12,230,27,1048,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 12:00:00,WIND,559101,1,HCM,1,838,1001,230,13,240,31,1142,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 13:00:00,WIND,559101,1,HCM,1,838,1001,250,15,280,40,1248,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 14:00:00,WIND,559101,1,HCM,1,838,1001,260,18,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-23 15:00:00,WIND,559101,1,HCM,1,838,1001,280,14,280,33,1406,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 16:00:00,WIND,559101,1,HCM,1,838,1001,290,10,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-23 17:00:00,WIND,559101,1,HCM,1,838,1001,310,14,310,30,1654,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 18:00:00,WIND,559101,1,HCM,1,838,1001,320,12,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-23 19:00:00,WIND,559101,1,HCM,1,838,1001,310,10,310,21,1842,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 20:00:00,WIND,559101,1,HCM,1,838,1001,300,7,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-23 21:00:00,WIND,559101,1,HCM,1,838,1001,270,6,260,12,2018,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-23 22:00:00,WIND,559101,1,HCM,1,838,1001,270,5,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-23 23:00:00,WIND,559101,1,HCM,1,838,1001,250,5,250,11,2248,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 00:00:00,WIND,559101,1,HCM,1,838,1001,250,5,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-24 01:00:00,WIND,559101,1,HCM,1,838,1001,230,3,230,9,42,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 02:00:00,WIND,559101,1,HCM,1,838,1001,280,3,260,11,124,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 03:00:00,WIND,559101,1,HCM,1,838,1001,260,3,270,9,254,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 04:00:00,WIND,559101,1,HCM,1,838,1001,270,4,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-24 05:00:00,WIND,559101,1,HCM,1,838,1001,260,4,270,9,442,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 06:00:00,WIND,559101,1,HCM,1,838,1001,280,3,260,8,548,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 07:00:00,WIND,559101,1,HCM,1,838,1001,220,1,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-24 08:00:00,WIND,559101,1,HCM,1,838,1001,260,2,270,7,712,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 09:00:00,WIND,559101,1,HCM,1,838,1001,260,1,280,6,848,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 10:00:00,WIND,559101,1,HCM,1,838,1001,270,2,270,7,900,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 11:00:00,WIND,559101,1,HCM,1,838,1001,270,2,270,7,1000,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 12:00:00,WIND,559101,1,HCM,1,838,1001,300,5,310,13,1130,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 13:00:00,WIND,559101,1,HCM,1,838,1001,320,8,320,16,1230,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 14:00:00,WIND,559101,1,HCM,1,838,1001,320,8,310,15,1312,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 15:00:00,WIND,559101,1,HCM,1,838,1001,320,7,320,13,1412,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 16:00:00,WIND,559101,1,HCM,1,838,1001,320,5,310,10,1500,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 17:00:00,WIND,559101,1,HCM,1,838,1001,310,2,280,5,1600,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 18:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,1700,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 19:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,1800,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 20:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,1900,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 21:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,2000,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 22:00:00,WIND,559101,1,HCM,1,838,1001,310,1,320,4,2142,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-24 23:00:00,WIND,559101,1,HCM,1,838,1001,310,1,300,4,2200,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 00:00:00,WIND,559101,1,HCM,1,838,1001,280,1,280,4,2348,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 01:00:00,WIND,559101,1,HCM,1,838,1001,140,1,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1991-12-25 02:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,100,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 03:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,200,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 04:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,300,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 05:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,400,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 06:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,500,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 07:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,600,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1991-12-25 08:00:00,WIND,559101,1,HCM,1,838,1001,0,0,0,0,700,9,9,9,9,9,NA,NA,NA,NA,NA,NA
